,Descrição,N° de empresas
248,Transporte aéreo de carga,468
249,Extração de madeira em florestas nativas,1236
250,Produção de carvão vegetal - florestas nativas,1505
251,Pesca de peixes em água salgada,3893
252,Pesca de crustáceos e moluscos em água salgada,511
253,Coleta de outros produtos marinhos,42
254,Pesca de peixes em água doce,6044
255,Pesca de crustáceos e moluscos em água doce,8
256,Coleta de outros produtos aquáticos de água doce,71
257,"Atividades de jardins botânicos, zoológicos, parques nacionais, reservas ecológicas e áreas de proteção ambiental",4257
258,Extração de madeira em florestas plantadas,13387
259,Produção de carvão vegetal - florestas plantadas,6904
260,Coleta de palmito em florestas nativas,107
261,Transmissão de energia elétrica,2880
262,Distribuição de energia elétrica,5066
