,Descrição,N° de empresas
182,Fabricação de face simples de papelão ondulado,0
183,Fabricação de papelão ondulado,0
184,Fabricação de embalagens de papel,8107
185,Fabricação de embalagens de cartolina e papel cartão,0
186,Fabricação de produtos de papel para uso doméstico e higiênico sanitário não especificados anteriormente,0
187,"Fabricação de acessórios para embalagens de papelão ondulado, impressos ou não",0
188,"Fabricação de caixas de papelão ondulado, impressas ou não",0
189,"Fabricação de embalagens de papelão ondulado, impressas ou não",0
190,"Fabricação de formulários contínuos, impressos ou não",0
191,Fabricação de agendas,0
192,"Fabricação de artefatos de papel para aparelhos registradores, inclusive bobinas",0
193,Fabricação de artefatos de papel-cartão gomado ou adesivo em tiras ou em rolos,0
194,"Fabricação de artefatos de papel, papelão, cartolina ou papel-cartão para escritório",0
195,"Fabricação de artefatos diversos de papel utilizados para escrita ou impressão, impressos, estampados ou perfurados",0
196,"Fabricação de artefatos impressos de papelaria, não especificados",0
197,"Fabricação de artigos diversos para correspondência (aerogramas, bilhetes-postais ou outros artigos para correspondência)",0
198,Fabricação de bobinas de papel para máquinas,0
199,Fabricação de cadernos e cadernetas escolares,0
200,"Fabricação de classificadores, guias, fichas e separadores de papelão ou cartolina, para arquivos",0
201,Fabricação de envelopes de papel impressos ou não,0
202,Fabricação de estêncil para mimeógrafo,0
203,"Fabricação de etiquetas adesivas de papel, impressas ou não",0
204,"Fabricação de etiquetas de papel não adesivas (TAG), impressas ou não",0
205,Fabricação de fitas adesivas de papel,0
206,Fabricação de livros de escrituração contábil e fiscal,0
207,Fabricação de notas promissórias,0
208,Fabricação de papel almaço,0
209,Fabricação de papel autocopiativo (com corantes microencapsulados),0
210,Fabricação de papel carbono,0
211,Fabricação de papel milimetrado,0
212,Fabricação de papel para cartas,0
213,Fabricação de papel para mimeógrafo em resma,0
214,"Fabricação de papel para oficio, cartas e semelhantes",0
215,"Fabricação de papel quadriculado, milimetrado e semelhantes",0
216,"Fabricação de pastas de cartolina para escritório, com ou sem ferragens",0
217,Fabricação de fraldas descartáveis,3770
218,Fabricação de absorventes higiênicos,535
219,"Fabricação de artefatos de papel, papelão ondulado, cartolina ou papel-cartão de acabamento especial para revestimentos",0
220,Fabricação de artigos de fibra prensada ou isolante,0
221,Fabricação de bandeirolas de papel,0
222,"Bandejas, travessas, pratos, copos e artigos semelhantes de papel ou papel-cartão",0
223,"Fabricação de blocos e chapas filtrantes, de pasta de papel",0
224,Fabricação de canudos de papel para refresco,0
225,"Fabricação de carretéis, bobinas e suportes semelhantes de papel, papel-cartão e pasta de papel",0
226,"Fabricação de confetes, serpentinas e semelhantes",0
227,Fabricação de copos de papel ou de papel-cartão,0
228,Fabricação de embalagens diversas de pasta de celulose,0
229,Fabricação de flâmulas e bandeirolas de papel,0
230,Fabricação de papel estampado ou fantasia,0
231,Fabricação de papel impregnado ou revestido,0
232,"Fabricação de papel para cigarros, cortado em dimensões próprias, em folhas, tubos ou rolos",0
233,"Fabricação de peças ou acessórios para máquinas ou equipamentos de transporte de papel, papelão ondulado, cartolina ou papel-cartão",0
234,Fabricação de polpa de madeira ou de pasta mecânica moldada em artigos diversos,0
235,Fabricação de revestimentos de matérias têxteis para paredes,0
236,Fabricação de revestimentos para pavimentos com suporte de papel ou de pepal-cartão,0
237,"Fabricação de álbuns de papel-cartão para fotografias, amostras ou coleções",0
238,"Fabricação de borracha vegetal, sólida, beneficiada (lavagem, centrifugação, prensagem em blocos, granulação, etc.)",0
239,"Centrifugação, coagulação, vulcanização e outros beneficiamentos de látex vegetal",0
240,Fabricação de fios de borracha,0
241,Fabricação de laminados de borracha,0
242,Fabricação de artefatos de espuma de borracha,0
243,Fabricação de espuma de borracha,0
244,"Fabricação de câmaras de ar para pneumáticos de automóveis, caminhões, ônibus, aeronaves, motocicletas, bicicletas e outros veículos",0
245,Fabricação de câmaras de ar para pneus,0
246,Fabricação de câmaras de ar para pneus de veículos ou de máquinas,0
247,"Fabricação de partes de pneus (borracha de ligação, camelbacks, etc)",0
248,Fabricação de pneumáticos para tratores e máquinas,0
249,Fabricação de pneumáticos para veículos,0
250,"Fabricação de pneus para automóveis, caminhões, ônibus, aeronaves, bicicletas, motocicletas e outros veículos",0
251,Fabricação de pneus para tratores e máquinas,0
252,Fabricação de pneus,0
253,"Fabricação de protetores, bandas de rodagem, amovíveis para pneumáticos (camelbacks) e “flaps” de borracha",0
254,Reforma de pneumáticos usados,5719
255,Produção de couros de bovinos secos ou salgados,0
256,Secagem e salga de couros e peles de bovinos,0
257,Secagem e salga de couros e peles de equinos,0
258,Secagem e salga de couros e peles de caprinos,0
259,Produção de couros e peles de bufalinos secos e/ou salgados,0
260,Secagem e salga de couro de bufalinos,0
261,Salga de couros e peles de suínos (porcos),0
262,Curtimento e outras preparações de couro,4728
263,Fabricação de artefatos de couro não especificados anteriormente,21594
264,Fabricação de artigos de couro para viagem,0
265,Fabricação de bolsas de couro,0
266,"Fabricação de bolsas de qualquer material (couro, plástico, etc) (3)",0
267,Fabricação de bolsas e mochilas de qualquer material (3),0
268,"Fabricação de carteiras para ou documentos, porta-níqueis, cigarreiras, etc., de couro natural ou artificial ou de outras matérias têxteis (3)",0
