,CNAE,PP/GU,N° de empresas
137,Fabricação de móveis com predominância de madeira,Médio,262601
138,Fabricação de celulose e outras pastas para a fabricação de papel,Alto,453
139,Fabricação de papel,Alto,2177
140,Fabricação de embalagens de papel,Alto,8107
141,Fabricação de fraldas descartáveis,Alto,3770
142,Fabricação de absorventes higiênicos,Alto,535
143,Reforma de pneumáticos usados,Pequeno,5719
144,Curtimento e outras preparações de couro,Alto,4728
145,Fabricação de artefatos de couro não especificados anteriormente,Alto,21594
146,Fabricação de linhas para costurar e bordar,Médio,387
147,Fabricação de tecidos de malha,Médio,8054
148,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário",Médio,33530
149,"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário",Médio,759
150,"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário",Médio,39642
151,Fabricação de laminados planos e tubulares de material plástico,Pequeno,2025
152,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",Pequeno,20421
153,Fabricação de embalagens de material plástico,Pequeno,16743
154,Fabricação de tubos e acessórios de material plástico para uso na construção,Pequeno,793
155,Fabricação de artefatos de material plástico para usos industriais,Pequeno,5483
156,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios",Pequeno,2865
157,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,Pequeno,24260
158,"Fabricação de móveis de outros materiais, exceto madeira e metal",Pequeno,11965
159,Processamento industrial do fumo,Médio,136
160,Fabricação de cigarros,Médio,1030
161,Fabricação de cigarrilhas e charutos,Médio,170
162,Fabricação de filtros para cigarros,Médio,33
163,"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos",Médio,1417
164,Coquerias,Alto,90
165,"Fabricação de outros produtos derivados do petróleo, exceto produtos do refino",Alto,326
166,Fabricação de cloro e álcalis,Alto,114
167,Fabricação de intermediários para fertilizantes,Alto,195
168,Fabricação de gases industriais,Alto,736
169,Elaboração de combustíveis nucleares,Alto,6
170,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,Alto,789
171,"Fabricação de intermediários para plastificantes, resinas e fibras",Alto,297
172,Fabricação de produtos químicos orgânicos não especificados anteriormente,Alto,3982
173,Fabricação de adesivos e selantes,Alto,1015
174,Fabricação de aditivos de uso industrial,Alto,1913
175,Fabricação de catalisadores,Alto,50
176,"Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia",Alto,191
177,Fabricação de outros produtos químicos não especificados anteriormente,Alto,8187
178,Fabricação de produtos do refino de petróleo,Alto,569
179,Formulação de combustíveis,Alto,40
180,Fabricação de produtos petroquímicos básicos,Alto,289
181,Produção de gás; processamento de gás natural,Alto,272
182,"Fabricação de pólvoras, explosivos e detonantes",Alto,359
183,Fabricação de artigos pirotécnicos,Alto,317
184,Fabricação de fósforos de segurança,Alto,13
