,box_plot,Média,Mediana,Máximo,Mínimo
71,Sudeste Óxidos de enxofre (SOx) Construction,2675.900900900901,22.0,56544.0,0.0
72,Sudeste Óxidos de enxofre (SOx) Agriculture,73.75175,12.5,764.0,0.0
73,Sudeste Óxidos de enxofre (SOx) Government,0.8,1.0,1.0,0.0
74,Sudeste Óxidos de enxofre (SOx) Utilities,2677.1714621513943,16.0,90172.0,0.0
75,Sudeste Óxidos de enxofre (SOx) OtherServices,1858.5588235294117,356.5,14704.0,0.0
76,Sudeste Óxidos de enxofre (SOx) Business,2287.046502330097,35.0,68455.0,0.0
77,Sudeste Óxidos de enxofre (SOx) Financial,206.0,210.0,230.0,170.0
78,Sudeste Óxidos de enxofre (SOx) RealEstate,,,,
79,Norte Material Particulado (MP) Manufacturing,2681.2045026215023,80.0,98600.0,0.0
80,Norte Material Particulado (MP) Mining,3610.31676968254,100.0,83000.0,0.0
81,Norte Material Particulado (MP) Trade,627.5514018691589,16.0,20600.0,0.0
82,Norte Material Particulado (MP) Transport,40.1,28.0,147.0,2.0
83,Norte Material Particulado (MP) Construction,129.52589049382715,2.72039,3310.0,0.0
84,Norte Material Particulado (MP) Agriculture,6555.1333766233765,300.0,30115.0,0.0
85,Norte Material Particulado (MP) Government,0.67459,0.0,2.69836,0.0
86,Norte Material Particulado (MP) Utilities,3729.2563552272723,182.5,38775.0,0.0
87,Norte Material Particulado (MP) OtherServices,26.0,26.0,50.0,2.0
88,Norte Material Particulado (MP) Business,2461.737011521739,42.0,57073.0,0.0
89,Norte Material Particulado (MP) Financial,,,,
90,Norte Material Particulado (MP) RealEstate,36175.0,36175.0,72000.0,350.0
91,Norte Monóxido de carbono (CO) Manufacturing,5493.0842468381925,100.0,98400.0,0.0
92,Norte Monóxido de carbono (CO) Mining,7857.849255473685,50.0,80000.0,0.0
93,Norte Monóxido de carbono (CO) Trade,2101.8391451136363,50.0,52513.0,0.0
94,Norte Monóxido de carbono (CO) Transport,1384.3474999999999,5.5,10900.0,1.0
95,Norte Monóxido de carbono (CO) Construction,8005.846017333333,100.0,53662.0,1.0
96,Norte Monóxido de carbono (CO) Agriculture,3192.9717233333336,45.0,20700.0,1.0
97,Norte Monóxido de carbono (CO) Government,10.0,10.0,10.0,10.0
98,Norte Monóxido de carbono (CO) Utilities,4903.909589459459,70.05325,67500.0,0.0
99,Norte Monóxido de carbono (CO) OtherServices,2.0,2.0,2.0,2.0
100,Norte Monóxido de carbono (CO) Business,2436.197796521739,42.0,15300.0,0.0
101,Norte Monóxido de carbono (CO) Financial,,,,
102,Norte Monóxido de carbono (CO) RealEstate,,,,
103,Norte Óxidos de nitrogênio (NOx) Manufacturing,6722.411927555555,97.0,97806.0,0.0
104,Norte Óxidos de nitrogênio (NOx) Mining,11603.340683387094,157.0,88604.0,0.0
105,Norte Óxidos de nitrogênio (NOx) Trade,1456.7692307692307,110.0,17500.0,0.0
106,Norte Óxidos de nitrogênio (NOx) Transport,45.0,27.0,107.0,6.0
107,Norte Óxidos de nitrogênio (NOx) Construction,22409.17391304348,941.0,85767.0,0.0
108,Norte Óxidos de nitrogênio (NOx) Agriculture,4598.388888888889,4560.0,14506.0,0.0
109,Norte Óxidos de nitrogênio (NOx) Government,5.0,5.0,5.0,5.0
110,Norte Óxidos de nitrogênio (NOx) Utilities,5434.980917058823,329.0,80684.0,0.0
111,Norte Óxidos de nitrogênio (NOx) OtherServices,,,,
112,Norte Óxidos de nitrogênio (NOx) Business,7221.917842380951,42.0,91744.0,1.72574
113,Norte Óxidos de nitrogênio (NOx) Financial,,,,
114,Norte Óxidos de nitrogênio (NOx) RealEstate,,,,
115,Norte Óxidos de enxofre (SOx) Manufacturing,2845.1961220520234,30.0,99800.0,0.0
116,Norte Óxidos de enxofre (SOx) Mining,3084.870842580645,588.0,53296.0,0.0
117,Norte Óxidos de enxofre (SOx) Trade,153.65217391304347,31.0,972.0,0.0
118,Norte Óxidos de enxofre (SOx) Transport,15.285714285714286,9.0,46.0,3.0
119,Norte Óxidos de enxofre (SOx) Construction,1578.596211,98.0,11753.0,0.0
120,Norte Óxidos de enxofre (SOx) Agriculture,925.6923076923077,300.0,6322.0,0.0
121,Norte Óxidos de enxofre (SOx) Government,16.88835,16.88835,16.88835,16.88835
122,Norte Óxidos de enxofre (SOx) Utilities,5958.397093697478,510.0,93061.0,0.0
123,Norte Óxidos de enxofre (SOx) OtherServices,,,,
124,Norte Óxidos de enxofre (SOx) Business,2413.800485,383.5,14842.0,0.0
125,Norte Óxidos de enxofre (SOx) Financial,,,,
126,Norte Óxidos de enxofre (SOx) RealEstate,,,,
127,Sul Material Particulado (MP) Manufacturing,2175.285173619495,56.0,93247.0,0.0
128,Sul Material Particulado (MP) Mining,1863.9997016260163,66.5,96360.0,0.0
129,Sul Material Particulado (MP) Trade,444.8959595959596,20.0,52898.0,0.0
130,Sul Material Particulado (MP) Transport,1271.8154761904761,50.0,24920.0,0.0
131,Sul Material Particulado (MP) Construction,338.39073634204277,2.0,50000.0,0.0
132,Sul Material Particulado (MP) Agriculture,4838.2975,299.0,86000.0,0.0
133,Sul Material Particulado (MP) Government,505.34386777777786,20.0,5000.0,0.0
134,Sul Material Particulado (MP) Utilities,2536.8606502666667,23.5,90400.0,0.0
135,Sul Material Particulado (MP) OtherServices,727.5186287878787,39.0,50000.0,0.0
136,Sul Material Particulado (MP) Business,760.995,5.25,10000.0,0.0
137,Sul Material Particulado (MP) Financial,1700.3333333333333,70.0,14900.0,0.0
138,Sul Material Particulado (MP) RealEstate,511.3333333333333,97.0,1437.0,0.0
139,Sul Monóxido de carbono (CO) Manufacturing,5782.863699656703,582.5,99416.0,0.0
140,Sul Monóxido de carbono (CO) Mining,12435.230371004785,600.0,96120.0,0.0
141,Sul Monóxido de carbono (CO) Trade,3097.3580592913386,100.0,99316.0,0.0
142,Sul Monóxido de carbono (CO) Transport,2967.754667738095,573.5,25000.0,0.0
143,Sul Monóxido de carbono (CO) Construction,7559.5967238095245,77.0,98200.0,0.0
144,Sul Monóxido de carbono (CO) Agriculture,13784.819490060605,2437.0,96935.0,0.0
145,Sul Monóxido de carbono (CO) Government,,,,
146,Sul Monóxido de carbono (CO) Utilities,4103.723533095238,100.0,74400.0,0.0
147,Sul Monóxido de carbono (CO) OtherServices,5936.308319589042,564.0,88300.0,1.0
148,Sul Monóxido de carbono (CO) Business,4264.913793103448,32.0,68400.0,0.0
149,Sul Monóxido de carbono (CO) Financial,9375.333333333334,2321.0,25700.0,105.0
150,Sul Monóxido de carbono (CO) RealEstate,0.0,0.0,0.0,0.0
151,Sul Óxidos de nitrogênio (NOx) Manufacturing,5262.686028061785,310.0,99830.0,0.0
152,Sul Óxidos de nitrogênio (NOx) Mining,6556.307692307692,234.0,35787.0,0.0
153,Sul Óxidos de nitrogênio (NOx) Trade,1062.352603508772,26.0,17428.0,0.0
154,Sul Óxidos de nitrogênio (NOx) Transport,2166.5384615384614,230.0,15879.0,19.0
155,Sul Óxidos de nitrogênio (NOx) Construction,680.0833333333334,47.0,8500.0,0.0
156,Sul Óxidos de nitrogênio (NOx) Agriculture,7024.205876521738,2031.0,59254.0,0.0
157,Sul Óxidos de nitrogênio (NOx) Government,56.8125,6.5,225.0,0.0
158,Sul Óxidos de nitrogênio (NOx) Utilities,8439.172199548873,46.0,69101.0,0.0
159,Sul Óxidos de nitrogênio (NOx) OtherServices,2845.3333333333335,32.0,28364.0,3.0
160,Sul Óxidos de nitrogênio (NOx) Business,716.3125,3.0,5000.0,0.0
161,Sul Óxidos de nitrogênio (NOx) Financial,20980.5,20980.5,40800.0,1161.0
162,Sul Óxidos de nitrogênio (NOx) RealEstate,,,,
163,Sul Óxidos de enxofre (SOx) Manufacturing,2341.7562449201596,41.5,99000.0,0.0
164,Sul Óxidos de enxofre (SOx) Mining,2987.5692307692307,200.0,37573.0,0.0
165,Sul Óxidos de enxofre (SOx) Trade,529.9746835443038,2.0,21120.0,0.0
166,Sul Óxidos de enxofre (SOx) Transport,1090.0,38.5,9483.0,0.0
167,Sul Óxidos de enxofre (SOx) Construction,946.4347826086956,23.5,36568.0,0.0
168,Sul Óxidos de enxofre (SOx) Agriculture,2575.771419354839,30.0,50896.0,0.0
169,Sul Óxidos de enxofre (SOx) Government,38.0,15.5,275.0,0.0
170,Sul Óxidos de enxofre (SOx) Utilities,2872.481071229508,38.028999999999996,56425.0,0.0
171,Sul Óxidos de enxofre (SOx) OtherServices,72.11111111111111,64.0,316.0,0.0
172,Sul Óxidos de enxofre (SOx) Business,1748.6470588235295,1.0,28727.0,0.0
173,Sul Óxidos de enxofre (SOx) Financial,,,,
174,Sul Óxidos de enxofre (SOx) RealEstate,,,,
