,Municipio,Setor,Numero de empresas,Mediana_Ecoeficiencia,Cod Municipio
1690,FORMIGA,Transport,4,270752374.45882857,3126109
1691,FORTALEZA DE MINAS,Manufacturing,19,207039.59992745737,3126307
1692,FORTALEZA DE MINAS,Government,30,587499.7341609679,3126307
1693,FORTALEZA DE MINAS,Mining,110,933479.2240023992,3126307
1694,FORTUNA DE MINAS,Mining,5,93400.0,3126406
1695,FRANCISCO SA,Manufacturing,7,71920512.98016205,3126703
1696,FRANCISCO SA,Trade,14,1342430.4900990112,3126703
1697,FRANCISCOPOLIS,Manufacturing,14,212752.31025,3126752
1698,FREI INOCENCIO,Trade,18,17608.534750000003,3126901
1699,FRONTEIRA,Manufacturing,14,568541.4101010101,3127008
1700,FRONTEIRA,Trade,6,2417.691917518013,3127008
1701,FRUTAL,Manufacturing,53,15524.609843937576,3127107
1702,FRUTAL,Construction,8,23994.115253496504,3127107
1703,FRUTAL,Trade,13,11698.311597938144,3127107
1704,FRUTAL,Transport,12,4217237748.383278,3127107
1705,FRUTAL,Mining,25,1131417.536427239,3127107
1706,GOIANA,Manufacturing,248,75482.35253836736,2606200
1707,GOIANA,Trade,4,531817.9565646099,2606200
1708,GOIANA,Utilities,3,188175.8333333333,2606200
1709,GOIANA,Agriculture,6,31128.161654595235,2606200
1710,GOUVEIA,Manufacturing,38,269531.5999364839,3527306
1711,GOUVEIA,Trade,17,1164734.877055336,3527306
1712,GOUVEIA,Mining,5,2886773.46,3527306
1713,GOVERNADOR VALADARES,Manufacturing,394,166439.88826815644,3127701
1714,GOVERNADOR VALADARES,Construction,30,174888.166,3127701
1715,GOVERNADOR VALADARES,Trade,397,130197.90555555555,3127701
1716,GOVERNADOR VALADARES,Utilities,13,14297.4022859122,3127701
1717,GOVERNADOR VALADARES,Government,12,409724.400418888,3127701
1718,GOVERNADOR VALADARES,Transport,212,231155.65893719805,3127701
1719,GOVERNADOR VALADARES,Mining,9,2502.18494723114,3127701
1720,GRAO MOGOL,Agriculture,23,653514.9804392587,3127800
1721,GUANHAES,Manufacturing,100,203506.78977412533,3128006
1722,GUANHAES,Trade,52,12453.119393939394,3128006
1723,GUAPE,Trade,9,1252.1261052631578,3128105
1724,GUAPE,Mining,3,65.29893866257851,3128105
1725,GUARANESIA,Manufacturing,201,62181.63860441475,3128303
1726,GUARANESIA,Agriculture,6,245014.0499368687,3128303
1727,GUARANI,Manufacturing,21,2905.7417545454546,3128402
1728,GUARANI,Trade,5,101207.25520113888,3128402
1729,GUARARA,Manufacturing,20,2798044.2321856725,5209291
1730,GUAXUPE,Manufacturing,281,101361.21571428572,3128709
1731,GUAXUPE,Trade,118,186636.50578125,3128709
1732,GUIDOVAL,Manufacturing,32,19167.867063492064,3128808
1733,GUIMARANIA,Trade,7,579962.1431388012,3128907
1734,GUIRICEMA,Manufacturing,17,106841.26218229043,3129004
1735,HELIODORA,Manufacturing,7,26476.875,3129202
1736,IAPU,Manufacturing,15,294701.14666666667,3129301
1737,IAPU,Trade,28,450147.9509198016,3129301
1738,IBERTIOGA,Government,30,3495149.22775,3129400
1739,IBIA,Manufacturing,91,4431312.846382784,3129608
1740,IBIA,Trade,5,28237.54947459132,3129608
1741,IBIRACI,Manufacturing,53,673498.0257591832,3129707
1742,IBIRITE,Manufacturing,287,139622.45209229566,3129806
1743,IBIRITE,Construction,64,6968.314606042653,3129806
1744,IBIRITE,Trade,25,2794.017746024429,3129806
1745,IBIRITE,Utilities,26,629776.0270586081,3129806
1746,IBIRITE,Transport,15,2634.4546666666665,3129806
1747,IBITURUNA,Trade,12,5866424.578125,3130002
1748,IGARAPE,Manufacturing,72,418042.1078627145,3130101
1749,IGARAPE,Construction,6,2989031.062470862,3130101
1750,IGARAPE,Trade,30,2183437.667857143,3130101
1751,IGARAPE,Mining,44,4049.924916666667,3130101
1752,IGARATINGA,Manufacturing,338,59859.98419230769,3130200
1753,IGARATINGA,Trade,13,14401.403073569025,3130200
1754,IGARATINGA,Agriculture,30,181296.2,3130200
1755,IGARATINGA,Mining,3,1856.783042394015,3130200
1756,IGUATAMA,Manufacturing,59,2497881.031229773,3130309
1757,IGUATAMA,Trade,24,4270817.540603248,3130309
1758,IGUATAMA,Transport,6,12230775.28065346,3130309
1759,IGUATAMA,Mining,14,551355.7714285714,3130309
1760,IJACI,Manufacturing,80,230849.91575,3130408
1761,IJACI,Trade,3,18839.79931746032,3130408
1762,IJACI,Mining,45,139797.26635515332,3130408
1763,ILICINEA,Trade,12,368766.7870037854,3130507
1764,IMBE DE MINAS,Manufacturing,12,1575020.4765059869,3130556
1765,INCONFIDENTES,Manufacturing,12,134734429.10831892,3130606
1766,INCONFIDENTES,Trade,25,10810.497647058824,3130606
1767,INCONFIDENTES,Mining,11,62424.58224543081,3130606
1768,INDIANOPOLIS,Manufacturing,12,1661976.8226648618,3130705
1769,INDIANOPOLIS,Trade,16,219109.7921585428,3130705
1770,INGAI,Manufacturing,15,13602.496,3130804
1771,INHAPIM,Trade,29,175931.07666666666,3130903
1772,INHAUMA,Trade,6,159555391.89769813,2204709
1773,INIMUTABA,Manufacturing,44,50327.400406504064,3131109
1774,IPANEMA,Manufacturing,45,114608.87107193278,3131208
1775,IPATINGA,Manufacturing,959,336927.18378981017,3131307
1776,IPATINGA,Construction,19,11459.578383804585,3131307
1777,IPATINGA,Trade,499,85722.77342471265,3131307
1778,IPATINGA,Utilities,5,20866174.39675401,3131307
1779,IPATINGA,Transport,64,25666629.07222914,3131307
1780,IPATINGA,Mining,26,286111.6471701389,3131307
1781,ITABIRA,Manufacturing,63,86745.73388816268,3131703
1782,ITABIRA,Construction,24,512223.1316622939,3131703
1783,ITABIRA,Trade,166,338575.4572545824,3131703
1784,ITABIRA,Transport,4,11315.460380173225,3131703
1785,ITABIRA,Business,9,83735.1100207962,3131703
1786,ITABIRA,Mining,226,3750373.804444445,3131703
1787,ITABIRINHA,Manufacturing,13,61138.467101548384,3131802
1788,ITABIRINHA,Trade,35,50245.686904761904,3131802
1789,ITABIRITO,Manufacturing,118,217345.6166330212,3131901
1790,ITABIRITO,Trade,49,2705.187065217391,3131901
1791,ITABIRITO,Mining,193,36309.55666666666,3131901
1792,ITACAMBIRA,Agriculture,3,16560.135440180587,3132008
1793,ITACARAMBI,Manufacturing,6,1020835.1832296802,3132107
1794,ITAGUARA,Manufacturing,118,1078514.5087473118,3132206
1795,ITAGUARA,Trade,36,1735281.2198418973,3132206
1796,ITAGUARA,Utilities,16,44719.63295247677,3132206
1797,ITAJUBA,Manufacturing,877,259245.5541928365,2507200
1798,ITAJUBA,Construction,33,43721.80346153846,2507200
1799,ITAJUBA,Trade,228,104165.8415,2507200
1800,ITAJUBA,Utilities,3,5094.878679245283,2507200
1801,ITAJUBA,Mining,11,137232.5880309258,2507200
1802,ITAMARANDIBA,Agriculture,27,7852.8294,3132503
1803,ITAMARANDIBA,Mining,3,57659.81582514464,3132503
1804,ITAMARATI DE MINAS,Mining,83,2217655.39408867,3132602
1805,ITAMBACURI,Manufacturing,39,131019.96455882351,3132701
1806,ITAMBACURI,Trade,51,29756.03658648589,3132701
1807,ITAMOGI,Trade,6,610333500.6423612,3132909
1808,ITAMONTE,Manufacturing,62,36700.44219104308,3133006
1809,ITANHANDU,Manufacturing,28,917109.528,3133105
1810,ITANHOMI,Trade,9,10878.7921875,3133204
1811,ITAOBIM,Manufacturing,9,67689668.13525,3133303
1812,ITAOBIM,Trade,19,124616.4745,3133303
1813,ITAOBIM,Government,6,11177657.58,3133303
1814,ITAOBIM,Mining,24,383165.235,3133303
1815,ITAPAGIPE,Manufacturing,75,39170.6208966132,3133402
1816,ITAPAGIPE,Trade,6,184716.7352257576,3133402
1817,ITAPECERICA,Manufacturing,52,142750.29411764705,3133501
1818,ITAPECERICA,Trade,31,144372.41644444445,3133501
1819,ITAPECERICA,Mining,53,1505326.2777777778,3133501
1820,ITAPEVA,Manufacturing,5,139102.7544414948,3133600
1821,ITAPEVA,Trade,9,13584173.985517366,3133600
1822,ITAPEVA,Agriculture,26,24993.57911427009,3133600
1823,ITATIAIUCU,Manufacturing,78,1390646.0433333332,3133709
1824,ITATIAIUCU,Trade,20,10907.5685847163,3133709
1825,ITATIAIUCU,Mining,220,44277.65184210526,3133709
1826,ITAU DE MINAS,Manufacturing,105,5086.8804045512015,3133758
1827,ITAUNA,Manufacturing,1665,251457.4928935185,2914802
1828,ITAUNA,Construction,75,206903.571,2914802
1829,ITAUNA,Trade,250,163055.02982954544,2914802
1830,ITAUNA,Utilities,34,4873955.559880952,2914802
1831,ITAUNA,Government,8,49168.24488020834,2914802
1832,ITAUNA,Transport,23,12633.863644122766,2914802
1833,ITAUNA,OtherServices,12,4159093.7760180994,2914802
1834,ITAUNA,Business,53,924291.6884711804,2914802
1835,ITAUNA,Mining,118,93891093.1818182,2914802
1836,ITINGA,Mining,38,8919010.156887755,3134004
1837,ITUETA,Trade,24,454676.8108034367,3134103
1838,ITUETA,Mining,8,1863470.642857143,3134103
1839,ITUIUTABA,Manufacturing,227,116333.97516666666,3134202
1840,ITUIUTABA,Construction,6,22719136.782,3134202
1841,ITUIUTABA,Trade,166,88172.32787878788,3134202
1842,ITUIUTABA,Utilities,5,363784488.3928572,3134202
1843,ITUIUTABA,Transport,12,2108616453.0,3134202
1844,ITURAMA,Manufacturing,71,300513.8,3134400
1845,ITURAMA,Trade,22,7098887.554545455,3134400
1846,ITURAMA,Mining,6,331043.10672775225,3134400
1847,ITUTINGA,Mining,4,178435.15870746353,3134509
1848,JABOTICATUBAS,Government,4,1277929.8370904983,3134608
1849,JABOTICATUBAS,Mining,11,200488.99404309175,3134608
