Municipio,Setor,Numero de empresas,Mediana_Ecoeficiencia
GOVERNADOR MANGABEIRA,Manufacturing,4,28984.59935897436
GUANAMBI,Manufacturing,41,26307.06291861698
IACU,Manufacturing,16,74731.78686635944
IBIASSUCE,Manufacturing,38,143349.60523415977
IBICARAI,Manufacturing,7,4286768436.923077
IBICOARA,Manufacturing,24,254696.01200000002
IBICUI,Manufacturing,34,77653.85565991102
IBIPITANGA,Manufacturing,7,41243359.91785714
IBIRAPITANGA,Trade,5,35317028904.00266
IBITIARA,Mining,4,57135.1684672619
IBOTIRAMA,Trade,5,10532150.452615816
IGAPORA,Manufacturing,14,34723.63120126526
IGRAPIUNA,Manufacturing,7,686578.4303717706
IGRAPIUNA,Agriculture,8,203740.80317634856
IGUAI,Manufacturing,34,235096.33527777778
ILHEUS,Manufacturing,213,283109.475
ILHEUS,Trade,29,499335.0
IPIAU,Manufacturing,6,513584.8584804917
IPIAU,Construction,31,18428790.658333335
IPIAU,Trade,7,5975.581844408427
IPIRA,Manufacturing,28,105708.8288
IPIRA,Trade,20,834090.5146626822
IRAQUARA,Manufacturing,65,500677.108433735
IRECE,Mining,24,298636.6176271186
ITABELA,Agriculture,3,134234.84369896236
ITABERABA,Manufacturing,32,2089077.9705555555
ITABERABA,Trade,8,1128641.7015325672
ITABUNA,Manufacturing,183,53874.908300518924
ITABUNA,Trade,28,5848.472524871587
ITABUNA,Transport,38,920814.4796380091
ITAGIMIRIM,Mining,3,187291658.0
ITAJUIPE,Manufacturing,13,774.0875
ITAMARAJU,Manufacturing,26,1517957.915451895
ITAMARAJU,Trade,12,10989.892717293595
ITAMBE,Manufacturing,69,313143.3398628795
ITAPETINGA,Manufacturing,174,376833.6382284403
ITARANTIM,Manufacturing,39,80646.70138888889
ITATIM,Trade,13,23225.204679637704
ITORORO,Manufacturing,124,108409.84839074874
ITUACU,Manufacturing,4,492535815261.8913
JABORANDI,Trade,12,5174508.3926640265
JACOBINA,Manufacturing,3,5841503.675
JACOBINA,Trade,13,489279.5435294118
JACOBINA,Mining,26,435609.6956818182
JAGUAQUARA,Manufacturing,8,5257.575060257085
JAGUAQUARA,Trade,6,28854.763312899646
JAGUARARI,Trade,9,171480.00734394125
JAGUARARI,Utilities,15,18838.73144566301
JANDAIRA,Agriculture,31,791192809.9637681
JEQUIE,Manufacturing,134,703874.6933766233
JEQUIE,Construction,3,393.2935621960007
JEQUIE,Trade,62,481974.368125
JEQUIE,Transport,34,162181.68
JEREMOABO,Manufacturing,7,471350.18701920845
JUAZEIRO,Manufacturing,71,1833.1834653506576
JUAZEIRO,Trade,31,2559879.644444444
JUAZEIRO,Agriculture,5,118378.03042857142
JUAZEIRO,Mining,3,9261974.94785276
LAGOA REAL,Trade,3,50146.81033039943
LAJE,Manufacturing,6,159.1919059432732
LAURO DE FREITAS,Manufacturing,30,22964.635696447647
LAURO DE FREITAS,Construction,8,4997647.253693474
LAURO DE FREITAS,Trade,9,19632.714808043875
LAURO DE FREITAS,Transport,3,31098.34141944444
LAURO DE FREITAS,Business,7,28037403.11617886
LIVRAMENTO DE NOSSA SENHORA,Manufacturing,36,162655.1
LUIS EDUARDO MAGALHAES,Manufacturing,122,48029.6875
LUIS EDUARDO MAGALHAES,Trade,58,168201.42857142855
LUIS EDUARDO MAGALHAES,Transport,5,939.1982338704819
MACAJUBA,Mining,13,59205.04604561112
MACARANI,Manufacturing,68,128632.5024355972
MACARANI,Trade,4,888984.9680998145
MADRE DE DEUS,Manufacturing,37,18880140.90909091
