,Municipio,Mediana_Ecoeficiencia
306,SENTO SE,166.35196249999998
307,SERRA DO RAMALHO,19813.579454217765
308,SERRA DOURADA,314.4406232
309,SERRINHA,2930.876614537391
310,SIMOES FILHO,570.54748
311,SITIO DO MATO,28.47019676578757
312,TANHACU,22.500311449185467
313,TANQUE NOVO,37.68970837719298
314,TEIXEIRA DE FREITAS,423.9872766666666
315,TEODORO SAMPAIO,348.77635377681196
316,TERRA NOVA,5693.985587225742
317,TREMEDAL,108.1797309555262
318,UAUA,3624.4738983050847
319,UBAITABA,51355.67793931731
320,UNA,3261.157578544273
321,URANDI,256.0955840336134
322,URUCUCA,5.454321802526177
323,VALENCA,622.9339133333333
324,VALENTE,159.7884800297619
325,VERA CRUZ,67.99243458106676
326,VITORIA DA CONQUISTA,182.26245383333332
327,XIQUE-XIQUE,219.74486425153646
328,ACARAPE,147.74125656565656
329,ACARAU,131.6753954011849
330,ACOPIARA,970.6296679438059
331,ALTO SANTO,18.47523771428571
332,AMONTADA,92.69110331489784
333,ANTONINA DO NORTE,135.0479951742633
334,APUIARES,68.29003946490938
335,AQUIRAZ,1013.6617175983437
336,ARACATI,116.35290133333334
337,ARACOIABA,232.2093943792057
338,ASSARE,41.498525777116406
339,BANABUIU,27467.422813047284
340,BARBALHA,3644.718795505618
341,BARREIRA,11490.579078455201
342,BARRO,694.413101604278
343,BATURITE,77.35333634451717
344,BEBERIBE,108.8402664562234
345,BELA CRUZ,11231.818985434456
346,BOA VIAGEM,801.4118530379747
347,BREJO SANTO,583.5699223161454
348,CAMOCIM,134.72282067299682
349,CAMPOS SALES,201.52310801775968
350,CANINDE,1546.4349378907518
351,CARIDADE,83292.14654634033
352,CASCAVEL,255.94886
353,CATARINA,27065.898397039895
354,CATUNDA,149.90433173986486
355,CAUCAIA,347.6445633839286
356,CHOROZINHO,48955.47168354102
357,COREAU,58.349897347841036
358,CRATEUS,106.15548666666666
359,CRATO,755.5432898382059
360,CRUZ,1686.779523982721
361,EUSEBIO,291.93394166666667
362,FARIAS BRITO,70868.78482624114
363,FORQUILHA,116.40507388740657
364,FORTALEZA,336.81645425407925
365,FORTIM,7.060962812531212
366,FRECHEIRINHA,208.84741756723415
367,GENERAL SAMPAIO,5014.44184201731
368,GRANJA,3142.7304067636896
369,GROAIRAS,1945.110537633262
370,GUAIUBA,240282.11080932702
371,GUARACIABA DO NORTE,67.82347044233154
372,HIDROLANDIA,77.67672317156527
373,HORIZONTE,194.04476527093595
374,IBARETAMA,997.5480076923077
375,ICAPUI,1212.5060967873192
376,ICO,123.53748731707319
377,IGUATU,97.83244921519982
378,INDEPENDENCIA,2705.234340101168
379,IPAUMIRIM,5.5088975555555555
380,IPU,204.52948333333333
381,IRAUCUBA,1178.2505972222223
382,ITAITINGA,314.6745791287579
383,ITAPAJE,130.56601333333333
384,ITAPIPOCA,82.43441026132757
385,ITAREMA,228.7225
386,JAGUARETAMA,101.68466308391898
387,JAGUARIBARA,3.66729056383857
388,JAGUARIBE,2116.99208448999
389,JAGUARUANA,1680.4663653571426
390,JARDIM,52.788308218559614
391,JUAZEIRO DO NORTE,499.15080414746546
392,JUCAS,1654.0826986334998
393,LAVRAS DA MANGABEIRA,7.7393905555555556
394,LIMOEIRO DO NORTE,596.8677128717422
395,MARACANAU,271.149502
396,MARANGUAPE,158.11684186980355
397,MARCO,28957.348412675103
398,MASSAPE,392.9595202929703
399,MAURITI,987.3780964066574
400,MILAGRES,390.33543249999997
401,MILHA,352.21920621666663
