,Municipio,Mediana_Ecoeficiencia
370,SANTA BARBARA,480.2867894736842
371,SANTA BRIGIDA,4793.953081470226
372,SANTA CRUZ CABRALIA,692.6319333333333
373,SANTA LUZIA,425.5863638888889
374,SANTA MARIA DA VITORIA,2516.9695571428574
375,SANTA RITA DE CASSIA,1835.8184166666667
376,SANTA TERESINHA,20.81372328967769
377,SANTALUZ,612.3742552606108
378,SANTANOPOLIS,12.787144999999999
379,SANTO AMARO,12950.12286
380,SANTO ANTONIO DE JESUS,507.7182666666667
381,SANTO ESTEVAO,475.98873626373626
382,SAO DESIDERIO,1022.9529666666667
383,SAO FELIX,98.78443083333335
384,SAO FELIX DO CORIBE,43315.557364532026
385,SAO FRANCISCO DO CONDE,308.6906341399436
386,SAO GONCALO DOS CAMPOS,17.69172534507953
387,SAO JOSE DO JACUIPE,88.26350000000001
388,SAO MIGUEL DAS MATAS,1858.61074
389,SAO SEBASTIAO DO PASSE,6526.839738352464
390,SAPEACU,1976.4340845070424
391,SAUDE,2302.688900584795
392,SEABRA,6543.190666666666
393,SENHOR DO BONFIM,665.5293333333334
394,SENTO SE,878.259094366436
395,SERRA DO RAMALHO,4787.460666666667
396,SERRA DOURADA,195.31338053097346
397,SERRINHA,49.15846388888889
398,SIMOES FILHO,309.56966176470587
399,SITIO DO MATO,63.97218564593301
400,SITIO DO QUINTO,6709.128758695652
401,SOBRADINHO,9998.710691666667
402,TANHACU,25575.309291521487
403,TANQUE NOVO,252.02177699528443
404,TANQUINHO,15998.46
405,TAPEROA,10570.842755487805
406,TEIXEIRA DE FREITAS,2981.621833829071
407,TEODORO SAMPAIO,1578.0751580936235
408,TEOLANDIA,1690.2932727272728
409,TERRA NOVA,1559.7115431146458
410,TREMEDAL,115.16907142857143
411,TUCANO,5222.286152597402
412,UBAIRA,61452.429375
413,UBAITABA,35557.924
414,UBATA,20139.81161904762
415,UNA,1110.6599989867225
416,URANDI,2939.8498918918917
417,URUCUCA,727.2444615384616
418,VALENCA,713.4430625
419,VALENTE,14044.532222222222
420,VARZEA NOVA,2206.723191489362
421,VARZEDO,321183.1489078947
422,VERA CRUZ,581.7867714285715
423,VEREDA,5739.484255864115
424,VITORIA DA CONQUISTA,432.29925925925926
425,WANDERLEY,1809.625
426,WENCESLAU GUIMARAES,6000.17065
427,XIQUE-XIQUE,260.91124985030666
428,ABAIARA,982.1402905844157
429,ACARAPE,508.5774677336441
430,ACARAU,7282.968574074075
431,ACOPIARA,309.73016315789476
432,AIUABA,259.70451
433,ALTO SANTO,553.8243888888888
434,AMONTADA,353.1787818181818
435,ANTONINA DO NORTE,3605.4041666666667
436,APUIARES,2067.741661538462
437,AQUIRAZ,109.47025442477876
438,ARACATI,1109.3881
439,ARACOIABA,83767900.0
440,ARARIPE,20662.672
441,ARATUBA,9798.414333333332
442,ASSARE,464.0371388888889
443,AURORA,406.91053667098095
444,BANABUIU,501.03893574297194
445,BARBALHA,1719.5700833333333
446,BARREIRA,2707.5934
447,BARRO,11493.083333333334
448,BARROQUINHA,2704.40747
449,BATURITE,18.13260788690476
